 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Surface Pressure (hpa), Pressure Level (hPa), Delta Pressure (hPa)
938,50,10
938,40,10
938,30,7.5
938,25,5
938,20,2.5
939,1000,9.96921e+36
939,950,14
939,900,50
939,850,50
939,800,50
939,750,50
939,700,50
939,650,50
939,600,50
939,550,50
939,500,50
939,450,50
939,400,50
939,350,50
939,300,50
939,250,50
939,200,37.5
939,175,25
939,150,25
939,125,25
939,100,22.5
939,80,15
939,70,10
939,60,10
939,50,10
939,40,10
939,30,7.5
939,25,5
939,20,2.5
940,1000,9.96921e+36
940,950,15
940,900,50
940,850,50
940,800,50
940,750,50
940,700,50
940,650,50
940,600,50
940,550,50
940,500,50
940,450,50
940,400,50
940,350,50
940,300,50
940,250,50
940,200,37.5
940,175,25
940,150,25
940,125,25
940,100,22.5
940,80,15
940,70,10
940,60,10
940,50,10
940,40,10
940,30,7.5
940,25,5
940,20,2.5
941,1000,9.96921e+36
941,950,16
941,900,50
941,850,50
941,800,50
941,750,50
941,700,50
941,650,50
941,600,50
941,550,50
941,500,50
941,450,50
941,400,50
941,350,50
941,300,50
941,250,50
941,200,37.5
941,175,25
941,150,25
941,125,25
941,100,22.5
941,80,15
941,70,10
941,60,10
941,50,10
941,40,10
941,30,7.5
941,25,5
941,20,2.5
942,1000,9.96921e+36
942,950,17
942,900,50
942,850,50
942,800,50
942,750,50
942,700,50
942,650,50
942,600,50
942,550,50
942,500,50
942,450,50
942,400,50
942,350,50
942,300,50
942,250,50
942,200,37.5
942,175,25
942,150,25
942,125,25
942,100,22.5
942,80,15
942,70,10
942,60,10
942,50,10
942,40,10
942,30,7.5
942,25,5
942,20,2.5
943,1000,9.96921e+36
943,950,18
943,900,50
943,850,50
943,800,50
943,750,50
943,700,50
943,650,50
943,600,50
943,550,50
943,500,50
943,450,50
943,400,50
943,350,50
943,300,50
943,250,50
943,200,37.5
943,175,25
943,150,25
943,125,25
943,100,22.5
943,80,15
943,70,10
943,60,10
943,50,10
943,40,10
943,30,7.5
943,25,5
943,20,2.5
944,1000,9.96921e+36
944,950,19
944,900,50
944,850,50
944,800,50
944,750,50
944,700,50
944,650,50
944,600,50
944,550,50
944,500,50
944,450,50
944,400,50
944,350,50
944,300,50
944,250,50
944,200,37.5
944,175,25
944,150,25
944,125,25
944,100,22.5
944,80,15
944,70,10
944,60,10
944,50,10
944,40,10
944,30,7.5
944,25,5
944,20,2.5
945,1000,9.96921e+36
945,950,20
945,900,50
945,850,50
945,800,50
945,750,50
945,700,50
945,650,50
945,600,50
945,550,50
945,500,50
945,450,50
945,400,50
945,350,50
945,300,50
945,250,50
945,200,37.5
945,175,25
945,150,25
945,125,25
945,100,22.5
945,80,15
945,70,10
945,60,10
945,50,10
945,40,10
945,30,7.5
945,25,5
945,20,2.5
946,1000,9.96921e+36
946,950,21
946,900,50
946,850,50
946,800,50
946,750,50
946,700,50
946,650,50
946,600,50
946,550,50
946,500,50
946,450,50
946,400,50
946,350,50
946,300,50
946,250,50
946,200,37.5
946,175,25
946,150,25
946,125,25
946,100,22.5
946,80,15
946,70,10
946,60,10
946,50,10
946,40,10
946,30,7.5
946,25,5
946,20,2.5
947,1000,9.96921e+36
947,950,22
947,900,50
947,850,50
947,800,50
947,750,50
947,700,50
947,650,50
947,600,50
947,550,50
947,500,50
947,450,50
947,400,50
947,350,50
947,300,50
947,250,50
947,200,37.5
947,175,25
947,150,25
947,125,25
947,100,22.5
947,80,15
947,70,10
947,60,10
947,50,10
947,40,10
947,30,7.5
947,25,5
947,20,2.5
948,1000,9.96921e+36
948,950,23
948,900,50
948,850,50
948,800,50
948,750,50
948,700,50
948,650,50
948,600,50
948,550,50
948,500,50
948,450,50
948,400,50
948,350,50
948,300,50
948,250,50
948,200,37.5
948,175,25
948,150,25
948,125,25
948,100,22.5
948,80,15
948,70,10
948,60,10
948,50,10
948,40,10
948,30,7.5
948,25,5
948,20,2.5
949,1000,9.96921e+36
949,950,24
949,900,50
949,850,50
949,800,50
949,750,50
949,700,50
949,650,50
949,600,50
949,550,50
949,500,50
949,450,50
949,400,50
949,350,50
949,300,50
949,250,50
949,200,37.5
949,175,25
949,150,25
949,125,25
949,100,22.5
949,80,15
949,70,10
949,60,10
949,50,10
949,40,10
949,30,7.5
949,25,5
949,20,2.5
950,1000,9.96921e+36
950,950,25
950,900,50
950,850,50
950,800,50
950,750,50
950,700,50
950,650,50
950,600,50
950,550,50
950,500,50
950,450,50
950,400,50
950,350,50
950,300,50
950,250,50
950,200,37.5
950,175,25
950,150,25
950,125,25
950,100,22.5
950,80,15
950,70,10
950,60,10
950,50,10
950,40,10
950,30,7.5
950,25,5
950,20,2.5
951,1000,9.96921e+36
951,950,26
951,900,50
951,850,50
951,800,50
951,750,50
951,700,50
951,650,50
951,600,50
951,550,50
951,500,50
951,450,50
951,400,50
951,350,50
951,300,50
951,250,50
951,200,37.5
951,175,25
951,150,25
951,125,25
951,100,22.5
951,80,15
951,70,10
951,60,10
951,50,10
951,40,10
951,30,7.5
951,25,5
951,20,2.5
952,1000,9.96921e+36
952,950,27
952,900,50
952,850,50
952,800,50
952,750,50
952,700,50
952,650,50
952,600,50
952,550,50
952,500,50
952,450,50
952,400,50
952,350,50
952,300,50
952,250,50
952,200,37.5
952,175,25
952,150,25
952,125,25
952,100,22.5
952,80,15
952,70,10
952,60,10
952,50,10
952,40,10
952,30,7.5
952,25,5
952,20,2.5
953,1000,9.96921e+36
953,950,28
953,900,50
953,850,50
953,800,50
953,750,50
953,700,50
953,650,50
953,600,50
953,550,50
953,500,50
953,450,50
953,400,50
953,350,50
953,300,50
953,250,50
953,200,37.5
953,175,25
953,150,25
953,125,25
953,100,22.5
953,80,15
953,70,10
953,60,10
953,50,10
953,40,10
953,30,7.5
953,25,5
953,20,2.5
954,1000,9.96921e+36
954,950,29
954,900,50
954,850,50
954,800,50
954,750,50
954,700,50
954,650,50
954,600,50
954,550,50
954,500,50
954,450,50
954,400,50
954,350,50
954,300,50
954,250,50
954,200,37.5
954,175,25
954,150,25
954,125,25
954,100,22.5
954,80,15
954,70,10
954,60,10
954,50,10
954,40,10
954,30,7.5
954,25,5
954,20,2.5
955,1000,9.96921e+36
955,950,30
955,900,50
955,850,50
955,800,50
955,750,50
955,700,50
955,650,50
955,600,50
955,550,50
955,500,50
955,450,50
955,400,50
955,350,50
955,300,50
955,250,50
955,200,37.5
955,175,25
955,150,25
955,125,25
955,100,22.5
955,80,15
955,70,10
955,60,10
955,50,10
955,40,10
955,30,7.5
955,25,5
955,20,2.5
956,1000,9.96921e+36
956,950,31
956,900,50
956,850,50
956,800,50
956,750,50
956,700,50
956,650,50
956,600,50
956,550,50
956,500,50
956,450,50
956,400,50
956,350,50
956,300,50
956,250,50
956,200,37.5
956,175,25
956,150,25
956,125,25
956,100,22.5
956,80,15
956,70,10
956,60,10
956,50,10
956,40,10
956,30,7.5
956,25,5
956,20,2.5
957,1000,9.96921e+36
957,950,32
957,900,50
957,850,50
957,800,50
957,750,50
957,700,50
957,650,50
957,600,50
957,550,50
957,500,50
957,450,50
957,400,50
957,350,50
957,300,50
957,250,50
957,200,37.5
957,175,25
957,150,25
957,125,25
957,100,22.5
957,80,15
957,70,10
957,60,10
957,50,10
957,40,10
957,30,7.5
957,25,5
957,20,2.5
958,1000,9.96921e+36
958,950,33
958,900,50
958,850,50
958,800,50
958,750,50
958,700,50
958,650,50
958,600,50
958,550,50
958,500,50
958,450,50
958,400,50
958,350,50
958,300,50
958,250,50
958,200,37.5
958,175,25
958,150,25
958,125,25
958,100,22.5
958,80,15
958,70,10
958,60,10
958,50,10
958,40,10
958,30,7.5
958,25,5
958,20,2.5
959,1000,9.96921e+36
959,950,34
959,900,50
959,850,50
959,800,50
959,750,50
959,700,50
959,650,50
959,600,50
959,550,50
959,500,50
959,450,50
959,400,50
959,350,50
959,300,50
959,250,50
959,200,37.5
959,175,25
959,150,25
959,125,25
959,100,22.5
959,80,15
959,70,10
959,60,10
959,50,10
959,40,10
959,30,7.5
959,25,5
959,20,2.5
960,1000,9.96921e+36
960,950,35
960,900,50
960,850,50
960,800,50
960,750,50
960,700,50
960,650,50
960,600,50
960,550,50
960,500,50
960,450,50
960,400,50
960,350,50
960,300,50
960,250,50
960,200,37.5
960,175,25
960,150,25
960,125,25
960,100,22.5
960,80,15
960,70,10
960,60,10
960,50,10
960,40,10
960,30,7.5
960,25,5
960,20,2.5
961,1000,9.96921e+36
961,950,36
961,900,50
961,850,50
961,800,50
961,750,50
961,700,50
961,650,50
961,600,50
961,550,50
961,500,50
961,450,50
961,400,50
961,350,50
961,300,50
961,250,50
961,200,37.5
961,175,25
961,150,25
961,125,25
961,100,22.5
961,80,15
961,70,10
961,60,10
961,50,10
961,40,10
961,30,7.5
961,25,5
961,20,2.5
962,1000,9.96921e+36
962,950,37
962,900,50
962,850,50
962,800,50
962,750,50
962,700,50
962,650,50
962,600,50
962,550,50
962,500,50
962,450,50
962,400,50
962,350,50
962,300,50
962,250,50
962,200,37.5
962,175,25
962,150,25
962,125,25
962,100,22.5
962,80,15
962,70,10
962,60,10
962,50,10
962,40,10
962,30,7.5
962,25,5
962,20,2.5
963,1000,9.96921e+36
963,950,38
963,900,50
963,850,50
963,800,50
963,750,50
963,700,50
963,650,50
963,600,50
963,550,50
963,500,50
963,450,50
963,400,50
963,350,50
963,300,50
963,250,50
963,200,37.5
963,175,25
963,150,25
963,125,25
963,100,22.5
963,80,15
963,70,10
963,60,10
963,50,10
963,40,10
963,30,7.5
963,25,5
963,20,2.5
964,1000,9.96921e+36
964,950,39
964,900,50
964,850,50
964,800,50
964,750,50
964,700,50
964,650,50
964,600,50
964,550,50
964,500,50
964,450,50
964,400,50
964,350,50
964,300,50
964,250,50
964,200,37.5
964,175,25
964,150,25
964,125,25
964,100,22.5
964,80,15
964,70,10
964,60,10
964,50,10
964,40,10
964,30,7.5
964,25,5
964,20,2.5
965,1000,9.96921e+36
965,950,40
965,900,50
965,850,50
965,800,50
965,750,50
965,700,50
965,650,50
965,600,50
965,550,50
965,500,50
965,450,50
965,400,50
965,350,50
965,300,50
965,250,50
965,200,37.5
965,175,25
965,150,25
965,125,25
965,100,22.5
965,80,15
965,70,10
965,60,10
965,50,10
965,40,10
965,30,7.5
965,25,5
965,20,2.5
966,1000,9.96921e+36
966,950,41
966,900,50
966,850,50
966,800,50
966,750,50
966,700,50
966,650,50
966,600,50
966,550,50
966,500,50
966,450,50
966,400,50
966,350,50
966,300,50
966,250,50
966,200,37.5
966,175,25
966,150,25
966,125,25
966,100,22.5
966,80,15
966,70,10
966,60,10
966,50,10
966,40,10
966,30,7.5
966,25,5
966,20,2.5
967,1000,9.96921e+36
967,950,42
967,900,50
967,850,50
967,800,50
967,750,50
967,700,50
967,650,50
967,600,50
967,550,50
967,500,50
967,450,50
967,400,50
967,350,50
967,300,50
967,250,50
967,200,37.5
967,175,25
967,150,25
967,125,25
967,100,22.5
967,80,15
967,70,10
967,60,10
967,50,10
967,40,10
967,30,7.5
967,25,5
967,20,2.5
968,1000,9.96921e+36
968,950,43
968,900,50
968,850,50
968,800,50
968,750,50
968,700,50
968,650,50
968,600,50
968,550,50
968,500,50
968,450,50
968,400,50
968,350,50
968,300,50
968,250,50
968,200,37.5
968,175,25
968,150,25
968,125,25
968,100,22.5
968,80,15
968,70,10
968,60,10
968,50,10
968,40,10
968,30,7.5
968,25,5
968,20,2.5
969,1000,9.96921e+36
969,950,44
969,900,50
969,850,50
969,800,50
969,750,50
969,700,50
969,650,50
969,600,50
969,550,50
969,500,50
969,450,50
969,400,50
969,350,50
969,300,50
969,250,50
969,200,37.5
969,175,25
969,150,25
969,125,25
969,100,22.5
969,80,15
969,70,10
969,60,10
969,50,10
969,40,10
969,30,7.5
969,25,5
969,20,2.5
970,1000,9.96921e+36
970,950,45
970,900,50
970,850,50
970,800,50
970,750,50
970,700,50
970,650,50
970,600,50
970,550,50
970,500,50
970,450,50
970,400,50
970,350,50
970,300,50
970,250,50
970,200,37.5
970,175,25
970,150,25
970,125,25
970,100,22.5
970,80,15
970,70,10
970,60,10
970,50,10
970,40,10
970,30,7.5
970,25,5
970,20,2.5
971,1000,9.96921e+36
971,950,46
971,900,50
971,850,50
971,800,50
971,750,50
971,700,50
971,650,50
971,600,50
971,550,50
971,500,50
971,450,50
971,400,50
971,350,50
971,300,50
971,250,50
971,200,37.5
971,175,25
971,150,25
971,125,25
971,100,22.5
971,80,15
971,70,10
971,60,10
971,50,10
971,40,10
971,30,7.5
971,25,5
971,20,2.5
972,1000,9.96921e+36
972,950,47
972,900,50
972,850,50
972,800,50
972,750,50
972,700,50
972,650,50
972,600,50
972,550,50
972,500,50
972,450,50
972,400,50
972,350,50
972,300,50
972,250,50
972,200,37.5
972,175,25
972,150,25
972,125,25
972,100,22.5
972,80,15
972,70,10
972,60,10
972,50,10
972,40,10
972,30,7.5
972,25,5
972,20,2.5
973,1000,9.96921e+36
973,950,48
973,900,50
973,850,50
973,800,50
973,750,50
973,700,50
973,650,50
973,600,50
973,550,50
973,500,50
973,450,50
973,400,50
973,350,50
973,300,50
973,250,50
973,200,37.5
973,175,25
973,150,25
973,125,25
973,100,22.5
973,80,15
973,70,10
973,60,10
973,50,10
973,40,10
973,30,7.5
973,25,5
973,20,2.5
974,1000,9.96921e+36
974,950,49
974,900,50
974,850,50
974,800,50
974,750,50
974,700,50
974,650,50
974,600,50
974,550,50
974,500,50
974,450,50
974,400,50
974,350,50
974,300,50
974,250,50
974,200,37.5
974,175,25
974,150,25
974,125,25
974,100,22.5
974,80,15
974,70,10
974,60,10
974,50,10
974,40,10
974,30,7.5
974,25,5
974,20,2.5
975,1000,0
975,950,50
975,900,50
975,850,50
975,800,50
975,750,50
975,700,50
975,650,50
975,600,50
975,550,50
975,500,50
975,450,50
975,400,50
975,350,50
975,300,50
975,250,50
975,200,37.5
975,175,25
975,150,25
975,125,25
975,100,22.5
975,80,15
975,70,10
975,60,10
975,50,10
975,40,10
975,30,7.5
975,25,5
975,20,2.5
976,1000,1
976,950,50
976,900,50
976,850,50
976,800,50
976,750,50
976,700,50
976,650,50
976,600,50
976,550,50
976,500,50
976,450,50
976,400,50
976,350,50
976,300,50
976,250,50
976,200,37.5
976,175,25
976,150,25
976,125,25
976,100,22.5
976,80,15
976,70,10
976,60,10
976,50,10
976,40,10
976,30,7.5
976,25,5
976,20,2.5
977,1000,2
977,950,50
977,900,50
977,850,50
977,800,50
977,750,50
977,700,50
977,650,50
977,600,50
977,550,50
977,500,50
977,450,50
977,400,50
977,350,50
977,300,50
977,250,50
977,200,37.5
977,175,25
977,150,25
977,125,25
977,100,22.5
977,80,15
977,70,10
977,60,10
977,50,10
977,40,10
977,30,7.5
977,25,5
977,20,2.5
978,1000,3
978,950,50
978,900,50
978,850,50
978,800,50
978,750,50
978,700,50
978,650,50
978,600,50
978,550,50
978,500,50
978,450,50
978,400,50
978,350,50
978,300,50
978,250,50
978,200,37.5
978,175,25
978,150,25
978,125,25
978,100,22.5
978,80,15
978,70,10
978,60,10
978,50,10
978,40,10
978,30,7.5
978,25,5
978,20,2.5
979,1000,4
979,950,50
979,900,50
979,850,50
979,800,50
979,750,50
979,700,50
979,650,50
979,600,50
979,550,50
979,500,50
979,450,50
979,400,50
979,350,50
979,300,50
979,250,50
979,200,37.5
979,175,25
979,150,25
979,125,25
979,100,22.5
979,80,15
979,70,10
979,60,10
979,50,10
979,40,10
979,30,7.5
979,25,5
979,20,2.5
980,1000,5
980,950,50
980,900,50
980,850,50
980,800,50
980,750,50
980,700,50
980,650,50
980,600,50
980,550,50
980,500,50
980,450,50
980,400,50
980,350,50
980,300,50
980,250,50
980,200,37.5
980,175,25
980,150,25
980,125,25
980,100,22.5
980,80,15
980,70,10
980,60,10
980,50,10
980,40,10
980,30,7.5
980,25,5
980,20,2.5
981,1000,6
981,950,50
981,900,50
981,850,50
981,800,50
981,750,50
981,700,50
981,650,50
981,600,50
981,550,50
981,500,50
981,450,50
981,400,50
981,350,50
981,300,50
981,250,50
981,200,37.5
981,175,25
981,150,25
981,125,25
981,100,22.5
981,80,15
981,70,10
981,60,10
981,50,10
981,40,10
981,30,7.5
981,25,5
981,20,2.5
982,1000,7
982,950,50
982,900,50
982,850,50
982,800,50
982,750,50
982,700,50
982,650,50
982,600,50
982,550,50
982,500,50
982,450,50
982,400,50
982,350,50
982,300,50
982,250,50
982,200,37.5
982,175,25
982,150,25
982,125,25
982,100,22.5
982,80,15
982,70,10
982,60,10
982,50,10
982,40,10
982,30,7.5
982,25,5
982,20,2.5
983,1000,8
983,950,50
983,900,50
983,850,50
983,800,50
983,750,50
983,700,50
983,650,50
983,600,50
983,550,50
983,500,50
983,450,50
983,400,50
983,350,50
983,300,50
983,250,50
983,200,37.5
983,175,25
983,150,25
983,125,25
983,100,22.5
983,80,15
983,70,10
983,60,10
983,50,10
983,40,10
983,30,7.5
983,25,5
983,20,2.5
984,1000,9
984,950,50
984,900,50
984,850,50
984,800,50
984,750,50
984,700,50
984,650,50
984,600,50
984,550,50
984,500,50
984,450,50
984,400,50
984,350,50
984,300,50
984,250,50
984,200,37.5
984,175,25
984,150,25
984,125,25
984,100,22.5
984,80,15
984,70,10
984,60,10
984,50,10
984,40,10
984,30,7.5
984,25,5
984,20,2.5
985,1000,10
985,950,50
985,900,50
985,850,50
985,800,50
985,750,50
985,700,50
985,650,50
985,600,50
985,550,50
985,500,50
985,450,50
985,400,50
985,350,50
985,300,50
985,250,50
985,200,37.5
985,175,25
985,150,25
985,125,25
985,100,22.5
985,80,15
985,70,10
985,60,10
985,50,10
985,40,10
985,30,7.5
985,25,5
985,20,2.5
986,1000,11
986,950,50
986,900,50
986,850,50
986,800,50
986,750,50
986,700,50
986,650,50
986,600,50
986,550,50
986,500,50
986,450,50
986,400,50
986,350,50
986,300,50
986,250,50
986,200,37.5
986,175,25
986,150,25
986,125,25
986,100,22.5
986,80,15
986,70,10
986,60,10
986,50,10
986,40,10
986,30,7.5
986,25,5
986,20,2.5
987,1000,12
987,950,50
987,900,50
987,850,50
987,800,50
987,750,50
987,700,50
987,650,50
987,600,50
987,550,50
987,500,50
987,450,50
987,400,50
987,350,50
987,300,50
987,250,50
987,200,37.5
987,175,25
987,150,25
987,125,25
987,100,22.5
987,80,15
987,70,10
987,60,10
987,50,10
987,40,10
987,30,7.5
987,25,5
987,20,2.5
988,1000,13
988,950,50
988,900,50
988,850,50
988,800,50
988,750,50
988,700,50
988,650,50
988,600,50
988,550,50
988,500,50
988,450,50
988,400,50
988,350,50
988,300,50
988,250,50
988,200,37.5
988,175,25
988,150,25
988,125,25
988,100,22.5
988,80,15
988,70,10
988,60,10
988,50,10
988,40,10
988,30,7.5
988,25,5
988,20,2.5
989,1000,14
989,950,50
989,900,50
989,850,50
989,800,50
989,750,50
989,700,50
989,650,50
989,600,50
989,550,50
989,500,50
989,450,50
989,400,50
989,350,50
989,300,50
989,250,50
989,200,37.5
989,175,25
989,150,25
989,125,25
989,100,22.5
989,80,15
989,70,10
989,60,10
989,50,10
989,40,10
989,30,7.5
989,25,5
989,20,2.5
990,1000,15
990,950,50
990,900,50
990,850,50
990,800,50
990,750,50
990,700,50
990,650,50
990,600,50
990,550,50
990,500,50
990,450,50
990,400,50
990,350,50
990,300,50
990,250,50
990,200,37.5
990,175,25
990,150,25
990,125,25
990,100,22.5
990,80,15
990,70,10
990,60,10
990,50,10
990,40,10
990,30,7.5
990,25,5
990,20,2.5
991,1000,16
991,950,50
991,900,50
991,850,50
991,800,50
991,750,50
991,700,50
991,650,50
991,600,50
991,550,50
991,500,50
991,450,50
991,400,50
991,350,50
991,300,50
991,250,50
991,200,37.5
991,175,25
991,150,25
991,125,25
991,100,22.5
991,80,15
991,70,10
991,60,10
991,50,10
991,40,10
991,30,7.5
991,25,5
991,20,2.5
992,1000,17
992,950,50
992,900,50
992,850,50
992,800,50
992,750,50
992,700,50
992,650,50
992,600,50
992,550,50
992,500,50
992,450,50
992,400,50
992,350,50
992,300,50
992,250,50
992,200,37.5
992,175,25
992,150,25
992,125,25
992,100,22.5
992,80,15
992,70,10
992,60,10
992,50,10
992,40,10
992,30,7.5
992,25,5
992,20,2.5
993,1000,18
993,950,50
993,900,50
993,850,50
993,800,50
993,750,50
993,700,50
993,650,50
993,600,50
993,550,50
993,500,50
993,450,50
993,400,50
993,350,50
993,300,50
993,250,50
993,200,37.5
993,175,25
993,150,25
993,125,25
993,100,22.5
993,80,15
993,70,10
993,60,10
993,50,10
993,40,10
993,30,7.5
993,25,5
993,20,2.5
994,1000,19
994,950,50
994,900,50
994,850,50
994,800,50
994,750,50
994,700,50
994,650,50
994,600,50
994,550,50
994,500,50
994,450,50
994,400,50
994,350,50
994,300,50
994,250,50
994,200,37.5
994,175,25
994,150,25
994,125,25
994,100,22.5
994,80,15
994,70,10
994,60,10
994,50,10
994,40,10
994,30,7.5
994,25,5
994,20,2.5
995,1000,20
995,950,50
995,900,50
995,850,50
995,800,50
995,750,50
995,700,50
995,650,50
995,600,50
995,550,50
995,500,50
995,450,50
995,400,50
995,350,50
995,300,50
995,250,50
995,200,37.5
995,175,25
995,150,25
995,125,25
995,100,22.5
995,80,15
995,70,10
995,60,10
995,50,10
995,40,10
995,30,7.5
995,25,5
995,20,2.5
996,1000,21
996,950,50
996,900,50
996,850,50
996,800,50
996,750,50
996,700,50
996,650,50
996,600,50
996,550,50
996,500,50
996,450,50
996,400,50
996,350,50
996,300,50
996,250,50
996,200,37.5
996,175,25
996,150,25
996,125,25
996,100,22.5
996,80,15
996,70,10
996,60,10
996,50,10
996,40,10
996,30,7.5
996,25,5
996,20,2.5
997,1000,22
997,950,50
997,900,50
997,850,50
997,800,50
997,750,50
997,700,50
997,650,50
997,600,50
997,550,50
997,500,50
997,450,50
997,400,50
997,350,50
997,300,50
997,250,50
997,200,37.5
997,175,25
997,150,25
997,125,25
997,100,22.5
997,80,15
997,70,10
997,60,10
997,50,10
997,40,10
997,30,7.5
997,25,5
997,20,2.5
998,1000,23
998,950,50
998,900,50
998,850,50
998,800,50
998,750,50
998,700,50
998,650,50
998,600,50
998,550,50
998,500,50
998,450,50
998,400,50
998,350,50
998,300,50
998,250,50
998,200,37.5
998,175,25
998,150,25
998,125,25
998,100,22.5
998,80,15
998,70,10
998,60,10
998,50,10
998,40,10
998,30,7.5
998,25,5
998,20,2.5
999,1000,24
999,950,50
999,900,50
999,850,50
999,800,50
999,750,50
999,700,50
999,650,50
999,600,50
999,550,50
999,500,50
999,450,50
999,400,50
999,350,50
999,300,50
999,250,50
999,200,37.5
999,175,25
999,150,25
999,125,25
999,100,22.5
999,80,15
999,70,10
999,60,10
999,50,10
999,40,10
999,30,7.5
999,25,5
999,20,2.5
1000,1000,25
1000,950,50
1000,900,50
1000,850,50
1000,800,50
1000,750,50
1000,700,50
1000,650,50
1000,600,50
1000,550,50
1000,500,50
1000,450,50
1000,400,50
1000,350,50
1000,300,50
1000,250,50
1000,200,37.5
1000,175,25
1000,150,25
1000,125,25
1000,100,22.5
1000,80,15
1000,70,10
1000,60,10
1000,50,10
1000,40,10
1000,30,7.5
1000,25,5
1000,20,2.5
1001,1000,26
1001,950,50
1001,900,50
1001,850,50
1001,800,50
1001,750,50
1001,700,50
1001,650,50
1001,600,50
1001,550,50
1001,500,50
1001,450,50
1001,400,50
1001,350,50
1001,300,50
1001,250,50
1001,200,37.5
1001,175,25
1001,150,25
1001,125,25
1001,100,22.5
1001,80,15
1001,70,10
1001,60,10
1001,50,10
1001,40,10
1001,30,7.5
1001,25,5
1001,20,2.5
1002,1000,27
1002,950,50
1002,900,50
1002,850,50
1002,800,50
1002,750,50
1002,700,50
1002,650,50
1002,600,50
1002,550,50
1002,500,50
1002,450,50
1002,400,50
1002,350,50
1002,300,50
1002,250,50
1002,200,37.5
1002,175,25
1002,150,25
1002,125,25
1002,100,22.5
1002,80,15
1002,70,10
1002,60,10
1002,50,10
1002,40,10
1002,30,7.5
1002,25,5
1002,20,2.5
1003,1000,28
1003,950,50
1003,900,50
1003,850,50
1003,800,50
1003,750,50
1003,700,50
1003,650,50
1003,600,50
1003,550,50
1003,500,50
1003,450,50
1003,400,50
1003,350,50
1003,300,50
1003,250,50
1003,200,37.5
1003,175,25
1003,150,25
1003,125,25
1003,100,22.5
1003,80,15
1003,70,10
1003,60,10
1003,50,10
1003,40,10
1003,30,7.5
1003,25,5
1003,20,2.5
1004,1000,29
1004,950,50
1004,900,50
1004,850,50
1004,800,50
1004,750,50
1004,700,50
1004,650,50
1004,600,50
1004,550,50
1004,500,50
1004,450,50
1004,400,50
1004,350,50
1004,300,50
1004,250,50
1004,200,37.5
1004,175,25
1004,150,25
1004,125,25
1004,100,22.5
1004,80,15
1004,70,10
1004,60,10
1004,50,10
1004,40,10
1004,30,7.5
1004,25,5
1004,20,2.5
1005,1000,30
1005,950,50
1005,900,50
1005,850,50
1005,800,50
1005,750,50
1005,700,50
1005,650,50
1005,600,50
1005,550,50
1005,500,50
1005,450,50
1005,400,50
1005,350,50
1005,300,50
1005,250,50
1005,200,37.5
1005,175,25
1005,150,25
1005,125,25
1005,100,22.5
1005,80,15
1005,70,10
1005,60,10
1005,50,10
1005,40,10
1005,30,7.5
1005,25,5
1005,20,2.5
1006,1000,31
1006,950,50
1006,900,50
1006,850,50
1006,800,50
1006,750,50
1006,700,50
1006,650,50
1006,600,50
1006,550,50
1006,500,50
1006,450,50
1006,400,50
1006,350,50
1006,300,50
1006,250,50
1006,200,37.5
1006,175,25
1006,150,25
1006,125,25
1006,100,22.5
1006,80,15
1006,70,10
1006,60,10
1006,50,10
1006,40,10
1006,30,7.5
1006,25,5
1006,20,2.5
1007,1000,32
1007,950,50
1007,900,50
1007,850,50
1007,800,50
1007,750,50
1007,700,50
1007,650,50
1007,600,50
1007,550,50
1007,500,50
1007,450,50
1007,400,50
1007,350,50
1007,300,50
1007,250,50
1007,200,37.5
1007,175,25
1007,150,25
1007,125,25
1007,100,22.5
1007,80,15
1007,70,10
1007,60,10
1007,50,10
1007,40,10
1007,30,7.5
1007,25,5
1007,20,2.5
1008,1000,33
1008,950,50
1008,900,50
1008,850,50
1008,800,50
1008,750,50
1008,700,50
1008,650,50
1008,600,50
1008,550,50
1008,500,50
1008,450,50
1008,400,50
1008,350,50
1008,300,50
1008,250,50
1008,200,37.5
1008,175,25
1008,150,25
1008,125,25
1008,100,22.5
1008,80,15
1008,70,10
1008,60,10
1008,50,10
1008,40,10
1008,30,7.5
1008,25,5
1008,20,2.5
1009,1000,34
1009,950,50
1009,900,50
1009,850,50
1009,800,50
1009,750,50
1009,700,50
1009,650,50
1009,600,50
1009,550,50
1009,500,50
1009,450,50
1009,400,50
1009,350,50
1009,300,50
1009,250,50
1009,200,37.5
1009,175,25
1009,150,25
1009,125,25
1009,100,22.5
1009,80,15
1009,70,10
1009,60,10
1009,50,10
1009,40,10
1009,30,7.5
1009,25,5
1009,20,2.5
1010,1000,35
1010,950,50
1010,900,50
1010,850,50
1010,800,50
1010,750,50
1010,700,50
1010,650,50
1010,600,50
1010,550,50
1010,500,50
1010,450,50
1010,400,50
1010,350,50
1010,300,50
1010,250,50
1010,200,37.5
1010,175,25
1010,150,25
1010,125,25
1010,100,22.5
1010,80,15
1010,70,10
1010,60,10
1010,50,10
1010,40,10
1010,30,7.5
1010,25,5
1010,20,2.5
1011,1000,36
1011,950,50
1011,900,50
1011,850,50
1011,800,50
1011,750,50
1011,700,50
1011,650,50
1011,600,50
1011,550,50
1011,500,50
1011,450,50
1011,400,50
1011,350,50
1011,300,50
1011,250,50
