 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Pressure (kPa), Psychrometric Constant (kPa/C)
1454,0.966532
1455,0.967197
1456,0.967861
1457,0.968526
1458,0.969191
1459,0.969856
1460,0.97052
1461,0.971185
1462,0.97185
1463,0.972515
1464,0.973179
1465,0.973844
1466,0.974509
1467,0.975174
1468,0.975838
1469,0.976503
1470,0.977168
1471,0.977832
1472,0.978497
1473,0.979162
1474,0.979827
1475,0.980491
1476,0.981156
1477,0.981821
1478,0.982486
1479,0.98315
1480,0.983815
1481,0.98448
1482,0.985145
1483,0.985809
1484,0.986474
1485,0.987139
1486,0.987804
1487,0.988468
1488,0.989133
1489,0.989798
1490,0.990463
1491,0.991127
1492,0.991792
1493,0.992457
1494,0.993122
1495,0.993786
1496,0.994451
1497,0.995116
1498,0.995781
1499,0.996445
1500,0.99711
1501,0.997775
1502,0.998439
1503,0.999104
1504,0.999769
1505,1.00043
1506,1.0011
1507,1.00176
1508,1.00243
1509,1.00309
1510,1.00376
1511,1.00442
1512,1.00509
1513,1.00575
1514,1.00642
1515,1.00708
1516,1.00775
1517,1.00841
1518,1.00908
1519,1.00974
1520,1.0104
1521,1.01107
1522,1.01173
1523,1.0124
1524,1.01306
1525,1.01373
1526,1.01439
1527,1.01506
1528,1.01572
1529,1.01639
1530,1.01705
1531,1.01772
1532,1.01838
1533,1.01905
1534,1.01971
1535,1.02038
1536,1.02104
1537,1.02171
1538,1.02237
1539,1.02303
1540,1.0237
1541,1.02436
1542,1.02503
1543,1.02569
1544,1.02636
1545,1.02702
1546,1.02769
1547,1.02835
1548,1.02902
1549,1.02968
1550,1.03035
1551,1.03101
1552,1.03168
1553,1.03234
1554,1.03301
1555,1.03367
1556,1.03434
1557,1.035
1558,1.03566
1559,1.03633
1560,1.03699
1561,1.03766
1562,1.03832
1563,1.03899
1564,1.03965
1565,1.04032
1566,1.04098
1567,1.04165
1568,1.04231
1569,1.04298
1570,1.04364
1571,1.04431
1572,1.04497
1573,1.04564
1574,1.0463
1575,1.04697
1576,1.04763
1577,1.04829
1578,1.04896
1579,1.04962
1580,1.05029
1581,1.05095
1582,1.05162
1583,1.05228
1584,1.05295
1585,1.05361
1586,1.05428
1587,1.05494
1588,1.05561
1589,1.05627
1590,1.05694
1591,1.0576
1592,1.05827
1593,1.05893
1594,1.0596
1595,1.06026
1596,1.06093
1597,1.06159
1598,1.06225
1599,1.06292
1600,1.06358
1601,1.06425
1602,1.06491
1603,1.06558
1604,1.06624
1605,1.06691
1606,1.06757
1607,1.06824
1608,1.0689
1609,1.06957
1610,1.07023
1611,1.0709
1612,1.07156
1613,1.07223
1614,1.07289
1615,1.07356
1616,1.07422
1617,1.07488
1618,1.07555
1619,1.07621
1620,1.07688
1621,1.07754
1622,1.07821
1623,1.07887
1624,1.07954
1625,1.0802
1626,1.08087
1627,1.08153
1628,1.0822
1629,1.08286
1630,1.08353
1631,1.08419
1632,1.08486
1633,1.08552
1634,1.08619
1635,1.08685
1636,1.08751
1637,1.08818
1638,1.08884
1639,1.08951
1640,1.09017
1641,1.09084
1642,1.0915
1643,1.09217
1644,1.09283
1645,1.0935
1646,1.09416
1647,1.09483
1648,1.09549
1649,1.09616
1650,1.09682
1651,1.09749
1652,1.09815
1653,1.09882
1654,1.09948
1655,1.10014
1656,1.10081
1657,1.10147
1658,1.10214
1659,1.1028
1660,1.10347
1661,1.10413
1662,1.1048
1663,1.10546
1664,1.10613
1665,1.10679
1666,1.10746
1667,1.10812
1668,1.10879
1669,1.10945
1670,1.11012
1671,1.11078
1672,1.11145
1673,1.11211
1674,1.11277
1675,1.11344
1676,1.1141
1677,1.11477
1678,1.11543
1679,1.1161
1680,1.11676
1681,1.11743
1682,1.11809
1683,1.11876
1684,1.11942
1685,1.12009
1686,1.12075
1687,1.12142
1688,1.12208
1689,1.12275
1690,1.12341
1691,1.12408
1692,1.12474
1693,1.1254
1694,1.12607
1695,1.12673
1696,1.1274
1697,1.12806
1698,1.12873
1699,1.12939
1700,1.13006
1701,1.13072
1702,1.13139
1703,1.13205
1704,1.13272
1705,1.13338
1706,1.13405
1707,1.13471
1708,1.13538
1709,1.13604
1710,1.13671
1711,1.13737
1712,1.13803
1713,1.1387
1714,1.13936
1715,1.14003
1716,1.14069
1717,1.14136
1718,1.14202
1719,1.14269
1720,1.14335
1721,1.14402
1722,1.14468
1723,1.14535
1724,1.14601
1725,1.14668
1726,1.14734
1727,1.14801
1728,1.14867
1729,1.14934
1730,1.15
1731,1.15066
1732,1.15133
1733,1.15199
1734,1.15266
1735,1.15332
1736,1.15399
1737,1.15465
1738,1.15532
1739,1.15598
1740,1.15665
